X,Y,Z,Calle,Comuna,Fecha,Hora Fin,Hora Inicio,ID,Ranking Regional,n,Largo km,Velocidad km/h
-70.6406819909141,-33.2821114962603,0, Av. Chicureo, Colina, 14/03/2025, 08:25, 07:10, Colina-52,458.0, 1.25 hrs, 1.714 , 23.81 
-70.6747640006759,-33.2045989999695,0, La Inmaculada Concepción, Colina, 14/03/2025, 08:30, 07:20, Colina-69,629.0, 1.17 hrs, 1.339 , 24.32 
-70.6534915306065,-33.1809669448703,0, Esmeralda, Colina, 14/03/2025, 09:05, 06:40, Colina-28,843.0, 2.42 hrs, 0.807 , 18.83 
-70.717209,-33.310779,0, Av. La Montaña, Colina, 14/03/2025, 17:45, 16:15, Colina-360,935.0, 1.5 hrs, 0.861 , 24.63 
-70.7038645137743,-33.2425325069374,0, Camino Lo Pinto, Colina, 14/03/2025, 18:50, 16:55, Colina-380,952.5, 1.92 hrs, 0.787 , 23.69 
-70.6715180032002,-33.2064034990372,0, Alpatacal, Colina, 14/03/2025, 08:25, 06:50, Colina-35,1210.0, 1.58 hrs, 0.736 , 22.27 
-70.664747329665,-33.1919370000026,0, Lo Seco, Colina, 14/03/2025, 08:30, 07:20, Colina-70,1614.0, 1.17 hrs, 0.671 , 22.31 
-70.6873724995291,-33.2096130000108,0, San Miguel, Colina, 14/03/2025, 14:10, 13:15, Colina-267,1652.0, 0.92 hrs, 0.727 , 17.97 
-70.6750135067091,-33.1931565091277,0, Av. Fontt, Colina, 14/03/2025, 18:30, 17:10, Colina-392,1679.0, 1.33 hrs, 0.637 , 20.78 
-70.651217,-33.1821415,0, Esmeralda, Colina, 14/03/2025, 19:55, 17:50, Colina-423,2320.0, 2.08 hrs, 0.491 , 19.49 
-70.7203834961062,-33.2251039775535,0, San Miguel, Colina, 14/03/2025, 08:10, 07:20, Colina-71,2356.5, 0.83 hrs, 0.588 , 15.55 
-70.6873724995291,-33.2096130000108,0, San Miguel, Colina, 14/03/2025, 08:40, 07:35, Colina-90,2377.0, 1.08 hrs, 0.545 , 22.74 
-70.6652250114164,-33.2081094979716,0, Transversal Colina, Colina, 14/03/2025, 07:55, 07:00, Colina-44,2580.0, 0.92 hrs, 0.545 , 21.58 
-70.6809740004359,-33.2828805028259,0, Los Ingleses, Colina, 14/03/2025, 09:00, 08:15, Colina-135,2753.0, 0.75 hrs, 0.552 , 22.54 
-70.6729305016154,-33.2060184995808,0, Alpatacal, Colina, 14/03/2025, 13:45, 13:05, Colina-264,2774.0, 0.67 hrs, 0.571 , 21.48 
-70.6751895,-33.201254,0, Fontt, Colina, 14/03/2025, 18:25, 17:10, Colina-390,2820.0, 1.25 hrs, 0.473 , 11.98 
