,X,Y,Ranking Regional,Largo km,Largo_km_log1p,Velocidad km/h,duracion_min,hora_central,hora_sin,hora_cos
X,1.0,0.34561862389839865,0.06831861737722346,-0.07627861835335813,-0.07584863822007408,-0.016171586371226673,-0.02737378437759925,0.009558426468057966,-0.012136245448845492,0.010297796357852178
Y,0.34561862389839865,1.0,0.02861619237786069,-0.015204452957095509,-0.021840021833641657,-0.03629388413090904,0.0013094702290537316,-0.05496495958308899,0.03222333023977889,-0.07288043831957894
Ranking Regional,0.06831861737722346,0.02861619237786069,1.0,-0.6897624194106322,-0.8274164021335929,-0.3628971585645424,-0.5406030400573674,0.045429833351983986,-0.03883248759236479,0.024076734232124464
Largo km,-0.07627861835335813,-0.015204452957095509,-0.6897624194106322,1.0,0.9490511782890799,0.28722866410630066,0.36699995582180334,-0.060555911697404874,0.05720933528891204,-0.03215010656121063
Largo_km_log1p,-0.07584863822007408,-0.021840021833641657,-0.8274164021335929,0.9490511782890799,1.0,0.3696709633676203,0.4226676427682464,-0.0710294736127279,0.06669392003638999,-0.037637568658531136
Velocidad km/h,-0.016171586371226673,-0.03629388413090904,-0.3628971585645424,0.28722866410630066,0.3696709633676203,1.0,0.030074544976698214,0.006101193276611268,-0.013092700735144755,-0.033763773153048855
duracion_min,-0.02737378437759925,0.0013094702290537316,-0.5406030400573674,0.36699995582180334,0.4226676427682464,0.030074544976698214,1.0,0.11909813580732873,-0.13660737873720588,0.048145882100704335
hora_central,0.009558426468057966,-0.05496495958308899,0.045429833351983986,-0.060555911697404874,-0.0710294736127279,0.006101193276611268,0.11909813580732873,1.0,-0.9613774196303413,0.6290916828576741
hora_sin,-0.012136245448845492,0.03222333023977889,-0.03883248759236479,0.05720933528891204,0.06669392003638999,-0.013092700735144755,-0.13660737873720588,-0.9613774196303413,1.0,-0.43331370045768336
hora_cos,0.010297796357852178,-0.07288043831957894,0.024076734232124464,-0.03215010656121063,-0.037637568658531136,-0.033763773153048855,0.048145882100704335,0.6290916828576741,-0.43331370045768336,1.0
