Comuna,n_tramos,vel_prom,vel_std,largo_prom,duracion_min_prom
Buin,48,18.86,3.85,0.46,65.64
Calera de Tango,11,18.29,3.95,0.48,51.82
Cerrillos,45,17.95,3.48,0.4,50.31
Cerro Navia,20,20.09,4.04,0.44,55.5
Colina,91,18.21,3.96,0.4,39.95
Conchalí,42,19.09,3.78,0.37,42.84
Curacaví,4,16.03,4.26,0.35,22.5
El Bosque,32,18.07,3.8,0.43,54.24
El Monte,7,17.22,3.05,0.38,43.63
Estación Central,65,19.06,3.92,0.41,53.88
Huechuraba,56,17.21,4.69,0.41,44.53
Independencia,48,17.65,4.72,0.39,51.69
Isla de Maipo,1,18.33,,0.33,34.8
La Cisterna,72,18.29,3.52,0.34,39.83
La Florida,195,17.93,3.89,0.36,37.55
La Granja,43,17.03,3.79,0.32,45.84
La Pintana,43,18.62,4.19,0.35,41.64
La Reina,112,17.42,4.94,0.4,57.8
Lampa,43,17.31,5.4,0.56,54.53
Las Condes,297,18.03,4.14,0.39,49.42
Lo Barnechea,43,18.27,4.6,0.4,34.4
Lo Espejo,24,19.24,3.52,0.28,48.15
Lo Prado,27,17.9,4.86,0.37,62.4
Macul,51,17.59,3.7,0.33,36.35
Maipú,194,17.64,4.54,0.42,51.45
Melipilla,65,19.02,4.5,0.52,64.55
Padre Hurtado,27,16.75,4.35,0.35,40.47
Paine,32,18.63,4.21,0.43,29.19
Pedro Aguirre Cerda,25,20.46,3.57,0.36,39.0
Peñaflor,34,18.21,4.33,0.37,36.88
Peñalolén,139,16.78,4.12,0.38,60.61
Pirque,12,18.5,4.63,0.87,47.9
Providencia,246,17.24,5.09,0.35,56.11
Pudahuel,103,15.37,5.71,0.41,59.12
Puente Alto,173,17.83,4.61,0.36,46.64
Quilicura,103,17.57,4.26,0.37,50.25
Quinta Normal,42,16.84,5.04,0.38,57.27
Recoleta,97,16.93,5.41,0.41,67.92
Renca,56,18.05,4.42,0.39,47.91
San Bernardo,115,18.11,4.57,0.44,61.02
San Joaquín,20,20.18,3.57,0.39,44.73
San Miguel,65,18.35,3.28,0.36,47.2
San Pedro,2,19.26,1.64,0.3,15.0
San Ramón,39,17.15,3.81,0.31,42.82
Santiago,194,18.91,3.99,0.46,51.59
Talagante,32,18.52,3.73,0.4,43.91
Vitacura,141,18.03,4.19,0.35,43.45
Ñuñoa,144,18.56,4.57,0.39,41.7
