variable,count,mean,std,min,q25,median,q75,max,skew,kurtosis
X,3520.0,-70.66,0.11,-71.47,-70.71,-70.64,-70.58,-70.5,-2.48,9.44
Y,3520.0,-33.47,0.1,-33.91,-33.53,-33.45,-33.42,-33.0,-0.53,1.8
Z,3520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ranking Regional,3520.0,6485.47,3388.48,4.0,3681.0,6466.5,9174.5,13459.5,0.03,-1.0
Largo km,3520.0,0.39,0.28,0.11,0.23,0.32,0.46,8.29,8.23,177.65
Velocidad km/h,3520.0,17.89,4.43,0.53,14.79,18.2,21.49,25.0,-0.44,-0.4
duracion_horas,3520.0,0.83,1.0,0.25,0.33,0.5,0.92,9.25,3.86,19.3
duracion_min,3520.0,49.79,59.97,15.0,19.8,30.0,55.2,555.0,3.86,19.3
hora_inicio_num,3520.0,13.12,4.29,6.17,8.08,13.46,16.83,20.92,-0.03,-1.39
hora_fin_num,3520.0,13.95,4.41,6.5,8.83,14.25,18.0,23.42,-0.05,-1.42
